paper_id,title,authors,year,venue,doi,url,pdf_path,pdf_status,zotero_select_uri,topic,status,priority,added_by,source,paper_type,actuation_type,model_type,validation_type,question_supported,why_opened,why_read_now,why_relevant,screening_notes,key_takeaway,limitations,decision_impact,zotero_key,notes_file,next_action
ZOTERO:KLVFLZAF,"Exo-Glove Shell  A Hybrid Rigid-Soft Wearable Robot for  Thumb Opposition, with an Under-Actuated Tendon-Driven System",et.all Kim,,,,https://sites.google.com/view/exo-gloveshell/,,missing,,,inbox,medium,rami,zotero,standard,,,,,,,,,,,,KLVFLZAF,notes/papers/punknown_kim_exo_glove_shell_hybrid_rigid_soft.md,screen abstract and decide topic memo placement
ZOTERO:5FMUJP7H,From simulation to reality: a variable-stiffness robot,Louise Mattelaer,,,,,/Users/rami/Zotero/storage/AE8C2X9N/Mattelaer - From simulation to reality a variable-stiffness robot.pdf,attached,zotero://select/library/items/AE8C2X9N,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,5FMUJP7H,notes/papers/punknown_mattelaer_simulation_reality_variable_stiffness_robot.md,screen abstract and decide topic memo placement
DOI:10.1089/soro.2018.0006,Exo-Glove Poly II: A Polymer-Based Soft Wearable Robot for the Hand with a Tendon-Driven Actuation System,Brian Byunghyun Kang; Hyungmin Choi; Haemin Lee; Kyu-Jin Cho,2019,Soft Robotics,10.1089/soro.2018.0006,https://journals.sagepub.com/doi/10.1089/soro.2018.0006,/Users/rami/Zotero/storage/VFJB322I/Kang et al. - 2019 - Exo-Glove Poly II A Polymer-Based Soft Wearable Robot for the Hand with a Tendon-Driven Actuation S.pdf,attached,zotero://select/library/items/VFJB322I,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,AK9DKBWB,notes/papers/p2019_kang_exo_glove_poly_ii_polymer_based.md,screen abstract and decide topic memo placement
DOI:10.1155/2019/6530838,"Music and Metronomes Differentially Impact Motor Timing in People with and without Parkinson’s Disease: Effects of Slow, Medium, and Fast Tempi on Entrainment and Synchronization Performances in Finger Tapping, Toe Tapping, and Stepping on the Spot Tasks",Dawn Rose; Yvonne Delevoye-Turrell; Laurent Ott; Lucy E. Annett; Peter J. Lovatt,2019,Parkinson's Disease,10.1155/2019/6530838,https://www.hindawi.com/journals/pd/2019/6530838/,/Users/rami/Zotero/storage/9P9BRYUK/Rose et al. - 2019 - Music and Metronomes Differentially Impact Motor Timing in People with and without Parkinson’s Disea.pdf,attached,zotero://select/library/items/9P9BRYUK,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,P7WSJP9L,notes/papers/p2019_rose_music_metronomes_differentially_motor_timing_people.md,screen abstract and decide topic memo placement
DOI:10.1093/brain/awz344,Evolving concepts on bradykinesia,Matteo Bologna; Giulia Paparella; Alfonso Fasano; Mark Hallett; Alfredo Berardelli,2020,Brain: A Journal of Neurology,10.1093/brain/awz344,,/Users/rami/Zotero/storage/G4MFAVIT/Bologna et al. - 2020 - Evolving concepts on bradykinesia.pdf,attached,zotero://select/library/items/G4MFAVIT,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,IF5PMF4P,notes/papers/p2020_bologna_evolving_concepts_bradykinesia.md,screen abstract and decide topic memo placement
DOI:10.3389/fbioe.2020.592637,Verification of Finger Joint Stiffness Estimation Method With Soft Robotic Actuator,Xiang Qian Shi; Ho Lam Heung; Zhi Qiang Tang; Kai Yu Tong; Zheng Li,2020,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2020.592637,https://www.frontiersin.org/articles/10.3389/fbioe.2020.592637/full,/Users/rami/Zotero/storage/DLC35B95/Shi et al. - 2020 - Verification of Finger Joint Stiffness Estimation Method With Soft Robotic Actuator.pdf,attached,zotero://select/library/items/DLC35B95,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,K7M39S88,notes/papers/p2020_shi_verification_finger_joint_stiffness_estimation_method.md,screen abstract and decide topic memo placement
DOI:10.1109/TNSRE.2021.3097888,Design and Validation of a Self-Aligning Index Finger Exoskeleton for Post-Stroke Rehabilitation,Ning Sun; Guotao Li; Long Cheng,2021,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/TNSRE.2021.3097888,https://ieeexplore.ieee.org/document/9489286/,/Users/rami/Zotero/storage/H8L6G2I9/Sun et al. - 2021 - Design and Validation of a Self-Aligning Index Finger Exoskeleton for Post-Stroke Rehabilitation.pdf,attached,zotero://select/library/items/H8L6G2I9,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,5EL93XHM,notes/papers/p2021_sun_self_aligning_index_finger_exoskeleton_post.md,screen abstract and decide topic memo placement
DOI:10.1109/ICORR55369.2022.9896595,Design and feasibility of the T-GRIP thumb exoskeleton to support the lateral pinch grasp of spinal cord injury patients,Claudia J. W. Haarman; Edsko E. G. Hekman; Ellen M. Maas; Johan S. Rietman; Herman van der Kooij,2022,IEEE International Conference on Rehabilitation Robotics,10.1109/ICORR55369.2022.9896595,https://pubmed.ncbi.nlm.nih.gov/36176123/,/Users/rami/Zotero/storage/TP57Q6VE/van der Kooij - 2022 - Design and feasibility of the T-GRIP thumb exoskeleton to support the lateral pinch grasp of spinal.pdf,attached,zotero://select/library/items/TP57Q6VE,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,PL9BWHHV,notes/papers/p2022_haarman_feasibility_t_grip_thumb_exoskeleton_support.md,screen abstract and decide topic memo placement
DOI:10.3390/jcm11092543,Improving Upper Extremity Bradykinesia in Parkinson’s Disease: A Randomized Clinical Trial on the Use of Gravity-Supporting Exoskeletons,Loredana Raciti; Loris Pignolo; Valentina Perini; Massimo Pullia; Bruno Porcari; Desiree Latella; Marco Isgrò; Antonino Naro; Rocco Salvatore Calabrò,2022,Journal of Clinical Medicine,10.3390/jcm11092543,https://www.mdpi.com/2077-0383/11/9/2543,/Users/rami/Zotero/storage/9F54TLD4/Raciti et al. - 2022 - Improving Upper Extremity Bradykinesia in Parkinson’s Disease A Randomized Clinical Trial on the Us.pdf,attached,zotero://select/library/items/9F54TLD4,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,DLB7JVI3,notes/papers/p2022_raciti_upper_extremity_bradykinesia_parkinsons_disease_randomized.md,screen abstract and decide topic memo placement
DOI:10.1109/JBHI.2022.3162386,Vision-Based Finger Tapping Test in Patients With Parkinson’s Disease via Spatial-Temporal 3D Hand Pose Estimation,Zhilin Guo; Weiqi Zeng; Taidong Yu; Yan Xu; Yang Xiao; Xuebing Cao; Zhiguo Cao,2022,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2022.3162386,https://ieeexplore.ieee.org/document/9744332/,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,8DTBIX7W,notes/papers/p2022_guo_vision_based_finger_tapping_test_patients.md,screen abstract and decide topic memo placement
DOI:10.1109/TOH.2023.3273908,A Soft Hand Exoskeleton With a Novel Tendon Layout to Improve Stable Wearing in Grasping Assistance,Tommaso Bagneschi; Domenico Chiaradia; Gabriele Righi; Giulio Del Popolo; Antonio Frisoli; Daniele Leonardis,2023,IEEE Transactions on Haptics,10.1109/TOH.2023.3273908,https://ieeexplore.ieee.org/document/10122623/,/Users/rami/Zotero/storage/DSRX9T4S/Bagneschi et al. - 2023 - A Soft Hand Exoskeleton With a Novel Tendon Layout to Improve Stable Wearing in Grasping Assistance.pdf,attached,zotero://select/library/items/DSRX9T4S,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,JX3QZUF5,notes/papers/p2023_bagneschi_soft_hand_exoskeleton_novel_tendon_layout.md,screen abstract and decide topic memo placement
DOI:10.3389/fneur.2023.1077871,Effects of wearable visual cueing on gait pattern and stability in patients with Parkinson's disease,Wei Zhang; Yun Han; Yuanyuan Shi; Shilei Yan; Wenjing Song; Guiyun Cui; Jie Xiang,2023,Frontiers in Neurology,10.3389/fneur.2023.1077871,,/Users/rami/Zotero/storage/G6GELYAH/Zhang et al. - 2023 - Effects of wearable visual cueing on gait pattern and stability in patients with Parkinson's disease.pdf,attached,zotero://select/library/items/G6GELYAH,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,DE6B5G6V,notes/papers/p2023_zhang_wearable_visual_cueing_gait_pattern_stability.md,screen abstract and decide topic memo placement
DOI:10.1109/TNSRE.2023.3236070,Self-Aligning Finger Exoskeleton for the Mobilization of the Metacarpophalangeal Joint,Emanuele Peperoni; Stefano Laszlo Capitani; Tommaso Fiumalbi; Eugenio Capotorti; Andrea Baldoni; Filippo Dell'Agnello; Ilaria Creatini; Elisa Taglione; Nicola Vitiello; Emilio Trigili; Simona Crea,2023,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/TNSRE.2023.3236070,https://ieeexplore.ieee.org/document/10015090/,/Users/rami/Zotero/storage/BBZ5THAB/Peperoni et al. - 2023 - Self-Aligning Finger Exoskeleton for the Mobilization of the Metacarpophalangeal Joint.pdf,attached,zotero://select/library/items/BBZ5THAB,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,ECHXH4Q4,notes/papers/p2023_peperoni_self_aligning_finger_exoskeleton_mobilization_metacarpophalangeal.md,screen abstract and decide topic memo placement
DOI:10.3390/s23062877,iTex Gloves: Design and In-Home Evaluation of an E-Textile Glove System for Tele-Assessment of Parkinson’s Disease,Vignesh Ravichandran; Shehjar Sadhu; Daniel Convey; Sebastien Guerrier; Shubham Chomal; Anne-Marie Dupre; Umer Akbar; Dhaval Solanki; Kunal Mankodiya,2023,Sensors,10.3390/s23062877,https://www.mdpi.com/1424-8220/23/6/2877,/Users/rami/Zotero/storage/323H296W/Ravichandran et al. - 2023 - iTex Gloves Design and In-Home Evaluation of an E-Textile Glove System for Tele-Assessment of Parki.pdf,attached,zotero://select/library/items/323H296W,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,EUEDBPW7,notes/papers/p2023_ravichandran_itex_gloves_home_evaluation_e_textile.md,screen abstract and decide topic memo placement
ZOTERO:QJAXYH2I,A tendon-driven actuator with cantilever initiated variable stiffness used for robotic fingers,Chenning Li; Shangkui Yang; David T. Branson; Zhibin Song; Tao Sun; Jian S. Dai; Rongjie Kang,2024,Mechanism and Machine Theory,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,QJAXYH2I,notes/papers/p2024_li_tendon_driven_actuator_cantilever_initiated_variable.md,screen abstract and decide topic memo placement
DOI:10.3390/healthcare12040439,Computer Vision for Parkinson’s Disease Evaluation: A Survey on Finger Tapping,Javier Amo-Salas; Alicia Olivares-Gil; Álvaro García-Bustillo; David García-García; Álvar Arnaiz-González; Esther Cubo,2024,Healthcare,10.3390/healthcare12040439,https://www.mdpi.com/2227-9032/12/4/439,/Users/rami/Zotero/storage/C69MV2P3/Amo-Salas et al. - 2024 - Computer Vision for Parkinson’s Disease Evaluation A Survey on Finger Tapping.pdf,attached,zotero://select/library/items/C69MV2P3,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,ZNUIHPV6,notes/papers/p2024_amo_salas_computer_vision_parkinsons_disease_evaluation_survey.md,screen abstract and decide topic memo placement
ZOTERO:DDM8DW32,Design and control of a tendon-driven robotic finger based on grasping task analysis,Xuanyi Zhou; Hao Fu; Baoqing Shentu; Weidong Wang; Shibo Cai; Guanjun Bao,2024,Biomimetics,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,DDM8DW32,notes/papers/p2024_zhou_control_tendon_driven_robotic_finger_based.md,screen abstract and decide topic memo placement
DOI:10.3390/biomimetics9100616,Design and optimization of a custom-made six-bar exoskeleton for pulp pinch grasp rehabilitation in stroke patients,Javier Andrés-Esperanza; José L. Iserte-Vilar; Víctor Roda-Casanova,2024,Biomimetics,10.3390/biomimetics9100616,https://www.mdpi.com/2313-7673/9/10/616,/Users/rami/Zotero/storage/9XECBFE9/Roda-Casanova - 2024 - Design and optimization of a custom-made six-bar exoskeleton for pulp pinch grasp rehabilitation in.pdf,attached,zotero://select/library/items/9XECBFE9,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,ET6L8PYY,notes/papers/p2024_andres_esperanza_optimization_custom_made_six_bar_exoskeleton.md,screen abstract and decide topic memo placement
ZOTERO:N4D392KK,Design of a haptic device with variable stiffness actuation mechanism for finger rehabilitation,Arash Basirat Tabrizi; Jeremy Catania; Baiqian Qi; Kourosh Zareinia,2024,Proceedings of the 11th International Conference of Control Systems and Robotics,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,N4D392KK,notes/papers/p2024_tabrizi_haptic_device_variable_stiffness_actuation_mechanism.md,screen abstract and decide topic memo placement
DOI:10.1186/s12984-024-01511-w,Post-traumatic hand rehabilitation using a powered metacarpal-phalangeal exoskeleton: a pilot study,Emanuele Peperoni; Emilio Trigili; Eugenio Capotorti; Stefano Laszlo Capitani; Tommaso Fiumalbi; Foebe Pettinelli; Sara Grandi; Alberto Rapalli; Giulia Lentini; Ilaria Creatini; Nicola Vitiello; Elisa Taglione; Simona Crea,2024,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-024-01511-w,https://jneuroengrehab.biomedcentral.com/articles/10.1186/s12984-024-01511-w,/Users/rami/Zotero/storage/83J5QNZ8/Peperoni et al. - 2024 - Post-traumatic hand rehabilitation using a powered metacarpal-phalangeal exoskeleton a pilot study.pdf,attached,zotero://select/library/items/83J5QNZ8,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,2JXXMKZZ,notes/papers/p2024_peperoni_post_traumatic_hand_rehabilitation_powered_metacarpal.md,screen abstract and decide topic memo placement
ZOTERO:TQQ8AV29,The usefulness of assistive soft robotics in the rehabilitation of patients with hand impairment: A systematic review,Zahra Jiryaei; Amir Salar Jafarpisheh,2024,Journal of Bodywork and Movement Therapies,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,TQQ8AV29,notes/papers/p2024_jiryaei_usefulness_assistive_soft_robotics_rehabilitation_patients.md,screen abstract and decide topic memo placement
ZOTERO:WVPJHL39,Validity and reliability of a finger training tool for assessing metacarpal phalangeal joint ranges of motion in asymptomatic participants,P. Kuvijitsuwan; J. Klaphajone; P. Singjai; T. Kumpika; N. Thawinchai; C. Angkurawaranon; C. Aramrat; K. Utarachon,2024,Scientific Reports,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,WVPJHL39,notes/papers/p2024_kuvijitsuwan_validity_reliability_finger_training_tool_assessing.md,screen abstract and decide topic memo placement
DOI:10.1016/j.ish.2025.03.002,A hand exoskeleton with linear motors (HELM) for pathological tremor suppression of fingers,Andong Yi; Bin Zhang; Nathan Lau; Dingguo Zhang,2025,Intelligent Sports and Health,10.1016/j.ish.2025.03.002,https://linkinghub.elsevier.com/retrieve/pii/S3050544525000179,/Users/rami/Zotero/storage/QYWC3BU6/Yi et al. - 2025 - A hand exoskeleton with linear motors (HELM) for pathological tremor suppression of fingers.pdf,attached,zotero://select/library/items/QYWC3BU6,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,MYYMFLDA,notes/papers/p2025_yi_hand_exoskeleton_linear_motors_helm_pathological.md,screen abstract and decide topic memo placement
DOI:10.3390/brainsci15060644,Exploring the impact of robotic hand rehabilitation on functional recovery in parkinson’s disease: a randomized controlled trial,Loredana Raciti; Desiree Latella; Gianfranco Raciti; Chiara Sorbera; Mirjam Bonanno; Laura Ciatto; Giuseppe Andronaco; Angelo Quartarone; Giuseppe Di Lorenzo; Rocco Salvatore Calabrò,2025,Brain Sciences,10.3390/brainsci15060644,https://www.mdpi.com/2076-3425/15/6/644,/Users/rami/Zotero/storage/NI3FU8NJ/Raciti et al. - 2025 - Exploring the impact of robotic hand rehabilitation on functional recovery in parkinson’s disease a.pdf,attached,zotero://select/library/items/NI3FU8NJ,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,BA2ASJZ4,notes/papers/p2025_raciti_robotic_hand_rehabilitation_functional_recovery_parkinsons.md,screen abstract and decide topic memo placement
DOI:10.1016/j.rineng.2025.106979,Predicting the response of a tendon-driven prosthetic finger with hyperelastic joints,Lucas Gallup; Mohamed Trabia; Brendan O'Toole,2025,Results in Engineering,10.1016/j.rineng.2025.106979,,/Users/rami/Zotero/storage/GJTAQXZU/O'Toole - 2025 - Predicting the response of a tendon-driven prosthetic finger with hyperelastic joints.pdf,attached,zotero://select/library/items/GJTAQXZU,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,B96LN626,notes/papers/p2025_gallup_predicting_response_tendon_driven_prosthetic_finger.md,screen abstract and decide topic memo placement
ZOTERO:6CLBTPC9,"Robotic systems for hand rehabilitation—past, present and future",Bogdan Gherman; Ionut Zima; Calin Vaida; Paul Tucan; Adrian Pisla; Iosif Birlescu; Jose Machado; Doina Pisla,2025,Technologies,,,,missing,,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,6CLBTPC9,notes/papers/p2025_gherman_robotic_systems_hand_rehabilitationpast.md,screen abstract and decide topic memo placement
DOI:10.1002/mds.70082,Analyzing the ‘Bradykinesia Complex’ in Parkinson's Disease,Giulia Paparella; Martina De Riggi; Antonio Cannavacciuolo; Daniele Birreci; Davide Costa; Luca Angelini; Danilo Alunni Fegatelli; Alfonso Fasano; Alberto J. Espay; Matteo Bologna,2026,Movement Disorders,10.1002/mds.70082,https://movementdisorders.onlinelibrary.wiley.com/doi/10.1002/mds.70082,/Users/rami/Zotero/storage/TLLP8PQ8/Paparella et al. - 2026 - Analyzing the ‘Bradykinesia Complex’ in Parkinson's Disease.pdf,attached,zotero://select/library/items/TLLP8PQ8,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,ZMN7IB8G,notes/papers/p2026_paparella_bradykinesia_complex_parkinson_s_disease.md,screen abstract and decide topic memo placement
DOI:10.1177/02783649251364287,Configuration identification of on-demand variable stiffness strain-limiting layers in zig-zag soft pneumatic actuators using deep learning methods,Palpolage Don Shehan Hiroshan Gunawardane; Duhyeon Lee; Phoebe Cheung; Hao Zhou; Gursel Alici; Mu Chiao,2026,The International Journal of Robotics Research,10.1177/02783649251364287,https://journals.sagepub.com/doi/10.1177/02783649251364287,/Users/rami/Zotero/storage/FH7XNKU8/Gunawardane et al. - 2026 - Configuration identification of on-demand variable stiffness strain-limiting layers in zig-zag soft.pdf,attached,zotero://select/library/items/FH7XNKU8,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,8MCJPW74,notes/papers/p2026_gunawardane_configuration_identification_demand_variable_stiffness_strain.md,screen abstract and decide topic memo placement
DOI:10.1038/s41531-026-01307-w,Interpretable and granular video-based quantification of motor characteristics from the finger-tapping test in Parkinson’s disease,Tahereh Zarrat Ehsan; Michael Tangermann; Yağmur Güçlütürk; SooYoon Shin; King Chung Ho; Bastiaan R. Bloem; Luc J. W. Evers,2026,npj Parkinson's Disease,10.1038/s41531-026-01307-w,https://www.nature.com/articles/s41531-026-01307-w,/Users/rami/Zotero/storage/Y88QVSBU/Zarrat Ehsan et al. - 2026 - Interpretable and granular video-based quantification of motor characteristics from the finger-tappi.pdf,attached,zotero://select/library/items/Y88QVSBU,,inbox,medium,rami,zotero,journalArticle,,,,,,,,,,,,JK7DT9RK,notes/papers/p2026_ehsan_interpretable_granular_video_based_quantification_motor.md,screen abstract and decide topic memo placement
DOI:10.1186/1743-0003-7-36,Development and pilot testing of HEXORR: Hand EXOskeleton Rehabilitation Robot,Christopher N Schabowsky; Sasha B Godfrey; Rahsaan J Holley; Peter S Lum,2010,Journal of NeuroEngineering and Rehabilitation,10.1186/1743-0003-7-36,https://jneuroengrehab.biomedcentral.com/articles/10.1186/1743-0003-7-36,/Users/rami/Zotero/storage/8KID6C34/Schabowsky et al. - 2010 - Development and pilot testing of HEXORR Hand EXOskeleton Rehabilitation Robot.pdf,attached,zotero://select/library/items/8KID6C34,T001,read,high,rami,zotero,journalArticle,,,,,,,,,,,,UGX4XEK6,notes/papers/p2010_schabowsky_hexorr_hand_exoskeleton.md,screen abstract and decide topic memo placement
ZOTERO:TZ2PNGNX,Soft pneumatic actuators for pushing fingers into extension,James V. McCall; Gregory D. Buckner; Derek G. Kamper,2024,Journal of NeuroEngineering and Rehabilitation,,,,missing,,T001,shortlist,high,codex,manual,journalArticle,soft pneumatic palmar finger actuator,actuator geometry trade-off plus FEM airflow estimate,mechanical jig force and passive bending tests,Which soft finger actuation concepts are realistic for a simplified finger system?,"Direct finger-scale actuator paper with explicit force, compliance, and geometry trade-offs.",Current thesis task needs strong actuator exemplars tied to simulation-first design choices.,Provides actuator-side parameters and validation metrics that map cleanly to a simplified finger-actuator study.,Screen after reduced-order model papers; likely strong source for actuator assumptions.,Rectangular palmar pneumatic chambers achieved useful extension torque with low passive resistance and fast cycling.,Still glove-oriented and includes FEM; not itself a full finger biomechanical model.,Could support actuator architecture narrowing and bench-top metric selection.,TZ2PNGNX,notes/papers/p2024_mccall_softpneumaticextension.md,screen abstract then extract force-pressure and geometry parameters
DOI:10.3390/robotics13030050,"Soft Hand Exoskeletons for Rehabilitation: Approaches to Design, Manufacturing Methods, and Future Prospects",Alexander Saldarriaga; Elkin Iván Gutierrez-Velasquez; Henry A. Colorado,2024,Robotics,10.3390/robotics13030050,https://www.mdpi.com/2218-6581/13/3/50,"/Users/rami/Zotero/storage/3UQNGKAJ/Saldarriaga et al. - 2024 - Soft Hand Exoskeletons for Rehabilitation Approaches to Design, Manufacturing Methods, and Future P.pdf",attached,zotero://select/library/items/3UQNGKAJ,T001,shortlist,medium,rami,zotero,journalArticle,,,,,,,,,,,,MEKFJLJE,notes/papers/p2024_saldarriaga_soft_hand_exoskeleton_review.md,screen abstract and decide topic memo placement
ZOTERO:YK72EAB8,Assist-as-needed control of a soft rehabilitation robot for the finger using an interaction torque observer,Alireza Besharati; Afshin Taghvaeipour; Ali Kamali E.; Mohammad Zareinejad,2025,European Journal of Control,,,,missing,,T001,screening,medium,codex,manual,journalArticle,fiber-reinforced bending soft finger robot,interaction torque observer and assist-as-needed control,controller evaluation on soft finger robot,How should controllability be evaluated in a simplified rehabilitation-relevant setup?,Potentially useful controllability paper for the variable-stiffness thesis angle.,Recent finger-specific control paper that may sharpen controllability metrics before model implementation.,Relevant because it frames assistance using interaction torque rather than only position tracking.,Read if controllability metrics become central in current memo or decision work.,A finger robot can adapt assistance using estimated interaction torque without direct patient model dependence.,More control-heavy than mechanism-heavy; may be secondary unless controllability becomes a lead question.,Could influence how controllability and user interaction are defined in the thesis.,YK72EAB8,notes/papers/p2025_besharati_aansoftfinger.md,screen abstract and results for usable controllability metrics
